,,,DBN,School Name,School Type,Enrollment,Impact Score,Performance Score,Instruction and Performance - Rating,Safety and School Climate - Rating,Relationships with Families - Rating,Instruction/Learning Environment - School Percent Positive,Advising and Planning - School Percent Positive,Safety - School Percent Positive,School Leadership - School Percent Positive,Student Support - School Percent Positive,Teaching Environment - School Percent Positive,Communication - School Percent Positive,Family Involvement - School Percent Positive,Family-School Trust - School Percent Positive,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Percentage of Students with >90% Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services
,,,02M051,P.S. 051 Elias Howe,Elementary,399,0.44,0.46,Fair,Fair,Excellent,0.82,,0.76,0.9,0.91,0.89,0.95,0.93,0.97,,,0.461,0.539,0,0.393,0.243,0.008,0.12,0.105,0.748,0.383,0.694,0.078,0.128,0.612,0.008,0.003,0.15,N<5,N<5,N<5,0,0,0.73,0.4,0.154,0.171,0.405,0.005,0.003,0.197,0.237,0.065,0.23,0.006,0.002,0.383,6.2,0.757,0.864,0.434,0.963,0.86,0.14,0,0.98,N/A,N/A
,,,02M059,P.S. 059 Beekman Hill International,Elementary,502,0.68,0.83,Excellent,Excellent,Good,0.85,,0.88,0.88,0.92,0.9,0.95,0.95,0.93,,,0.456,0.544,0,0.086,0.131,0,0.102,0.002,0.118,0.018,0.106,0.235,0.034,0.078,0.006,0,0.586,0.128,N<5,0.154,0,0,0.667,0.3,0.227,0.018,0.087,0.003,0.003,0.582,0.237,0.065,0.23,0.006,0.002,0.383,2.1,0.615,0.933,0.81,0.951,1,0,0,1,0,0
,,,02M077,P.S. 77 Lower Lab School,Elementary,367,0.94,1.1,Excellent,Good,Excellent,0.77,,0.87,0.63,0.81,0.75,0.95,0.99,0.97,,,0.526,0.474,0,0.011,0.076,0.016,0.005,0,0.13,0.003,0.084,0.425,0.003,0.074,0,0.005,0.349,N<5,0,N<5,0,0,0.85,1.6,0.085,0.206,0.376,0.008,0.003,0.269,0.237,0.065,0.23,0.006,0.002,0.383,9.2,0.65,0.954,0.924,0.977,1,0,0,1,0,0
,,,02M089,P.S. 89,Elementary,300,0.72,0.85,Excellent,Excellent,Excellent,0.91,,0.97,0.83,0.94,0.9,0.98,0.92,0.98,,,0.51,0.49,0,0.057,0.203,0.01,0.153,0.003,0.116,0.027,0.077,0.183,0.013,0.123,0.003,0.007,0.507,0.231,N<5,N<5,N<5,N<5,0.731,0.1,0.183,0.008,0.099,0.008,0.015,0.542,0.237,0.065,0.23,0.006,0.002,0.383,26,0.885,0.942,0.868,0.977,0.98,N/A,N/A,1,0,0
,,,02M104,J.H.S. 104 Simon Baruch,Middle,961,0.47,0.82,Excellent,Good,Good,0.75,0.84,0.61,0.8,0.64,0.83,0.91,0.83,0.94,3.5,3.5,0.511,0.488,0.001,0.097,0.137,0.007,0.084,0.029,0.398,0.114,0.339,0.273,0.067,0.23,0.006,0.003,0.332,0.154,N<5,0.123,N<5,N<5,0.677,1.1,0.148,0.116,0.323,0.006,0.002,0.329,0.214,0.094,0.255,0.005,0.003,0.361,10,0.862,0.925,0.749,0.97,0.85,N/A,N/A,0.88,N/A,N/A
,,,02M111,P.S. 111 Adolph S. Ochs,Elementary,362,0.45,0.47,Fair,Fair,Good,0.77,,0.69,0.81,0.93,0.89,0.97,0.91,0.92,,,0.47,0.53,0,0.304,0.224,0.022,0.088,0.072,0.733,0.343,0.652,0.102,0.135,0.552,0,0,0.177,N<5,N<5,0.175,0,0,0.6,0.3,0.075,0.123,0.61,0.006,0.002,0.147,0.237,0.065,0.23,0.006,0.002,0.383,9.2,0.85,0.864,0.48,0.968,0.88,0.12,0,1,N/A,N/A
,,,02M114,East Side Middle School,Middle,430,0.56,0.92,Excellent,Good,Good,0.78,0.81,0.68,0.7,0.68,0.82,0.95,0.94,0.93,3.58,3.69,0.507,0.493,0,0.014,0.258,0,0.23,0.005,0.234,0.016,0.184,0.212,0.056,0.174,0.005,0.002,0.488,N<5,N<5,N<5,0,0,0.75,0.8,0.11,0.174,0.367,0.004,0.003,0.292,0.214,0.094,0.255,0.005,0.003,0.361,1,0.875,0.956,0.93,0.964,0.97,N/A,N/A,0.98,N/A,N/A
,,,02M116,P.S. 116 Mary Lindley Murray,Elementary,341,0.49,0.63,Good,Good,Good,0.77,,0.86,0.84,0.88,0.95,0.96,0.94,0.91,,,0.475,0.525,0,0.308,0.164,0.003,0.12,0.009,0.514,0.326,0.463,0.15,0.106,0.381,0.009,0.003,0.302,0.226,N<5,N<5,0,0,0.645,0.4,0.277,0.106,0.187,0.003,0.003,0.373,0.237,0.065,0.23,0.006,0.002,0.383,0,0.807,0.87,0.549,0.951,0.88,N/A,N/A,0.98,N/A,N/A
,,,02M124,P.S. 124 Yung Wing,Elementary,465,0.7,0.87,Excellent,Good,Good,0.78,0.85,0.75,0.71,0.84,0.8,0.97,0.96,0.92,,,0.449,0.551,0,0.166,0.166,0.002,0.09,0.017,0.557,0.037,0.46,0.86,0.011,0.043,0,0,0.022,0.587,0,N<5,0,0,0.348,0.3,0.807,0.017,0.114,0.004,0,0.016,0.237,0.065,0.23,0.006,0.002,0.383,2.1,0.935,0.964,0.913,0.972,0.98,N/A,N/A,1,0,0
,,,02M126,P.S. 126 Jacob August Riis,K-8,548,0.57,0.73,Good,Good,Good,0.76,0.91,0.6,0.71,0.67,0.75,0.94,0.87,0.96,,,0.462,0.538,0,0.082,0.263,0.004,0.206,0.015,0.763,0.162,0.686,0.56,0.122,0.201,0.002,0.002,0.068,0.158,N<5,0.123,N<5,0,0.632,0.2,0.492,0.186,0.265,0.004,0.004,0.021,0.238,0.083,0.24,0.005,0.003,0.357,8.3,0.825,0.941,0.79,0.959,0.98,N/A,N/A,0.99,N/A,N/A
